seller_id,seller_store_name,supplier_email,password_s,receiving_bank,seller_rating,seller_phone_number,seller_address_street,s_post_code,s_city
65920,Smith LLC,smith llc0141@gmail.com,@MSu!6rC2x,NatWest Group plc,3,739751799,76655 Perkins Rest,KY1,Kirkcaldy
68099,Moses-Chase,moses-chase6430@gmail.com,ea+9dHnxNp,Co-operative Bank plc,5,7479987063,031 Matthew Ford Suite 186,EH1,Edinburgh
62724,Smith Ltd,smith ltd3148@gmail.com,o7XbD2Zq^i,HSBC Holdings plc,3,7333081593,161 Raymond Trafficway Apt. 929,AB10,Aberdeen
66708,"Johnson, Cook and Parks",johnson- cook and parks9827@gmail.com,X+H0A3pv@f,Metro Bank plc,5,7865631962,29918 Susan Manor,IV1,Inverness
57493,"Lee, Baker and Ruiz",lee- baker and ruiz2533@gmail.com,*gM$lz^T_6,Virgin Money UK plc,4,721179414,9595 John Mountain Apt. 196,DD10,Montrose
51606,Hardy-Stewart,hardy-stewart3133@gmail.com,Td61fVmr*%,NatWest Group plc,4,7521875863,9935 Marshall Lodge,KA1,Kilmarnock
59413,Martinez and Sons,martinez and sons9841@gmail.com,Ub8W1tW!d^,Virgin Money UK plc,1,7698687969,1113 Marvin Stravenue,G1,Glasgow
55958,"Miller, Morrison and Greene",miller- morrison and greene0025@gmail.com,_jK&GVb_m8,HSBC Holdings plc,3,7793408996,89387 Peterson Forest,IV1,Inverness
77209,Mitchell and Sons,mitchell and sons4577@gmail.com,#M9HLw7w^6,NatWest Group plc,5,7175227163,022 Thomas Way,G2,Glasgow
56349,"Smith, Cummings and Mendoza",smith- cummings and mendoza1273@gmail.com,_3ncbFfN!v,Santander UK plc,2,7689920022,752 Roger Falls,G2,Glasgow
96414,"Harris, Walker and Hill",harris- walker and hill0150@gmail.com,%5wREg++mb,Santander UK plc,2,7428643041,7003 Brown Hollow,EH1,Edinburgh
64800,"Lester, Allen and Hobbs",lester- allen and hobbs8558@gmail.com,^n2M(wt4oO,Lloyds Banking Group plc,2,7588751404,343 Joshua Mall Suite 332,EH8,Edinburgh
88356,Lopez Inc,lopez inc0377@gmail.com,nrqoO@Qk+2,Virgin Money UK plc,3,7249709328,1005 Allen Harbors,ML12,Biggar
56102,"Washington, Anderson and Hopkins",washington- anderson and hopkins7342@gmail.com,&s6A4q&E@n,Virgin Money UK plc,3,7609439725,44839 Warner Mills,IV2,Inverness
70824,"Drake, Hernandez and Mendoza",drake- hernandez and mendoza3730@gmail.com,%lyH%lRr78,Virgin Money UK plc,1,7822193597,0738 Daniel Knolls Apt. 999,PA19,Gourock
95656,"Taylor, Morgan and Williams",taylor- morgan and williams1976@gmail.com,&%9N7h&dYp,Tesco Bank,5,7910324001,5749 Anita Lane Suite 873,KY7,Glenrothes
99243,Smith-Thomas,smith-thomas9508@gmail.com,$VVeYPBoL8,HSBC Holdings plc,5,7495530836,64648 Heather Ferry Apt. 926,PA1,Paisley
77356,Perry-Williams,perry-williams9834@gmail.com,@RTylTLdv9,Barclays plc,5,7495074847,2130 Kristine Prairie,EH8,Edinburgh
72493,"Santiago, Burgess and Edwards",santiago- burgess and edwards1264@gmail.com,)5Ye)!e3Np,Co-operative Bank plc,4,7958376263,98673 Rebecca Landing Apt. 999,DG6,Castle Douglas
80172,Williamson-Hale,williamson-hale5162@gmail.com,(t6oIvkkGW,NatWest Group plc,1,750484029,047 Timothy Lock Apt. 105,DD10,Montrose
69808,Mccormick-Levy,mccormick-levy0598@gmail.com,%zV0E)sc&L,Tesco Bank,5,750184586,87642 Nathan Lock,ML12,Biggar
66866,Henderson-Reeves,henderson-reeves0878@gmail.com,a@#x4NjH4%,Santander UK plc,4,7711563866,323 Chase Fall,EH8,Edinburgh
70964,Brooks-Preston,brooks-preston7917@gmail.com,$%jm)5KiFL,Virgin Money UK plc,1,7182894530,0944 Walker Lodge Suite 625,DG6,Castle Douglas
96820,"Evans, Nash and Decker",evans- nash and decker5918@gmail.com,^0Dnr#OmDk,HSBC Holdings plc,4,7487096192,23880 Kenneth Roads Apt. 180,EH8,Edinburgh
81204,Hernandez LLC,hernandez llc6619@gmail.com,#oSD^d7z7J,NatWest Group plc,2,7688288236,1266 Spencer Pines Suite 744,KY1,Kirkcaldy
52286,Villarreal-Daugherty,villarreal-daugherty8929@gmail.com,W1X&cfQ3@%,NatWest Group plc,2,7611070764,7165 Brown Mountain,PA1,Paisley
82239,"Aguilar, Flores and Lewis",aguilar- flores and lewis8126@gmail.com,2!3K7XftkY,Standard Chartered plc,4,7451517248,030 Gregory Grove,AB10,Aberdeen
88254,Patel Group,patel group3066@gmail.com,l4a05Zkq&s,Tesco Bank,5,7556606429,8191 Sanford Orchard,G1,Glasgow
88898,"Hardin, Sanchez and Clark",hardin- sanchez and clark9022@gmail.com,%k02QiGX(T,HSBC Holdings plc,4,7954780965,1363 Evans Pine Suite 083,EH1,Edinburgh
77763,Young PLC,young plc7878@gmail.com,i2CARqkI*!,Lloyds Banking Group plc,5,7842368575,5648 Baker Knolls,G2,Glasgow
67786,Mullen Group,mullen group7220@gmail.com,*^YK#cmI1J,Santander UK plc,4,7474107699,018 Jones Mall,ML1,Motherwell
68938,Black PLC,black plc6000@gmail.com,@JRWsh$3r2,Santander UK plc,4,7115120016,463 Ashley Valleys,IV2,Inverness
94804,"Morgan, Mitchell and Castillo",morgan- mitchell and castillo4217@gmail.com,wR78&dVoW^,Lloyds Banking Group plc,4,77060933,10089 Jessica Ramp Suite 813,IV2,Inverness
73308,Peterson LLC,peterson llc4030@gmail.com,%4tFm(Be1m,Tesco Bank,3,762576745,9354 Jeffrey Parkways Apt. 264,KA22,Ardrossan
62306,Jackson-Schwartz,jackson-schwartz4987@gmail.com,+p5GNvzzW*,Lloyds Banking Group plc,2,7293389177,55443 Craig Brooks,PA1,Paisley
85346,"Johnston, Anthony and Collins",johnston- anthony and collins9041@gmail.com,$JyFoN1o83,Barclays plc,2,7102474662,85492 Watkins Via Suite 254,KA1,Kilmarnock
69219,Gibbs-Hart,gibbs-hart5310@gmail.com,(H3tkR(e%9,Standard Chartered plc,5,7943572428,8012 Dean Glens Suite 751,DG6,Castle Douglas
66408,Hopkins-Brown,hopkins-brown2366@gmail.com,)9rQ+w2X00,HSBC Holdings plc,5,7449797779,86133 Michael Mountains,KA22,Ardrossan
63849,Hunt-Webb,hunt-webb3043@gmail.com,)4!ZdZk74v,Virgin Money UK plc,3,7798940090,9396 William Shoal Suite 177,PA1,Paisley
82795,Lin-Martinez,lin-martinez0114@gmail.com,I9%3IoiYY9,Barclays plc,4,7666922508,2904 Tina Forge,DD10,Montrose
54000,Hart PLC,hart plc9127@gmail.com,(7W^HOuL_u,Barclays plc,5,7793857546,0341 Ryan Walks,PA1,Paisley
62321,"Hill, Marshall and Barnes",hill- marshall and barnes3011@gmail.com,@6Z93*3nkI,Virgin Money UK plc,4,7829747647,7958 Ethan Loop,IV2,Inverness
68466,Fernandez Group,fernandez group0123@gmail.com,xd6DM7ey)U,Tesco Bank,5,7220023379,71397 Jamie Circle Suite 195,DD10,Montrose
74481,Frost Ltd,frost ltd7229@gmail.com,Z12)IyRKw*,Tesco Bank,1,7357170356,6972 Mitchell Dale,EH8,Edinburgh
99572,"Cruz, Edwards and Hoover",cruz- edwards and hoover4292@gmail.com,^4UeQ)Ct$Y,Barclays plc,1,752986375,6147 Bradley Groves Suite 904,DD10,Montrose
52341,Anderson-Beck,anderson-beck7894@gmail.com,L_R5XTJmAY,Standard Chartered plc,5,7995916627,3684 Weiss Plains,G2,Glasgow
85496,Archer PLC,archer plc3950@gmail.com,5R_nSeH((x,Metro Bank plc,3,7462717621,259 Michael Passage,EH8,Edinburgh
64508,Reid-Smith,reid-smith7037@gmail.com,Xa1D3xp1V),Virgin Money UK plc,4,7517921271,99249 Susan Mall,G1,Glasgow
50302,Peters Inc,peters inc9563@gmail.com,M$GO1hPn)V,Lloyds Banking Group plc,5,7628413065,791 Nelson Point,ML1,Motherwell
96127,Barrett-Murray,barrett-murray8929@gmail.com,z9@9KF1nmd,Tesco Bank,4,7189154805,2977 Crane Run,G1,Glasgow
