seller_id,seller_store_name,supplier_email,password_s,receiving_bank,seller_rating,seller_phone_number,seller_address_street,s_post_code,s_city
15109,"Parker, Parrish and Reyes",parker- parrish and reyes@gmail.com,R9%F87Oev8,NatWest Group plc,2,711357217,37677 Kevin Stream Apt. 883,EH1,Edinburgh
21391,Nelson Ltd,nelson ltd@gmail.com,^j!3CK&v!%,Lloyds Banking Group plc,4,7540761559,93048 Perez Haven,EH8,Edinburgh
49039,Villarreal PLC,villarreal plc@gmail.com,%1kAmKde$7,Co-operative Bank plc,1,7999212065,267 Curtis Falls,DG6,Castle Douglas
27665,Ferguson-Decker,ferguson-decker@gmail.com,2WfV6kCc*S,HSBC Holdings plc,4,792676675,774 Steven Streets,DG1,Dumfries
14355,Hamilton Ltd,hamilton ltd@gmail.com,54IHBo6U#k,Virgin Money UK plc,4,7745572326,9898 Cruz Fort,AB10,Aberdeen
14101,"Sampson, Arnold and Johnson",sampson- arnold and johnson@gmail.com,^(8Equi_l7,Co-operative Bank plc,2,7876822452,72138 Wilcox Isle Apt. 078,KY7,Glenrothes
36642,Knapp-Moody,knapp-moody@gmail.com,SVn4HScr)6,Standard Chartered plc,1,7539418802,0168 Sharp Expressway Apt. 707,DD10,Montrose
38946,Meyers-Medina,meyers-medina@gmail.com,&0ADoYya(M,Virgin Money UK plc,4,7340027415,19930 Hartman Gardens Suite 001,DG1,Dumfries
19236,Odonnell Group,odonnell group@gmail.com,Ni4ZZAMfx^,NatWest Group plc,5,7325808459,32140 Hansen Ferry,IV1,Inverness
25766,"Johnson, Kelly and Smith",johnson- kelly and smith@gmail.com,r69N9Bs@*Q,Co-operative Bank plc,2,7786338074,33746 Rodriguez Forges,IV1,Inverness
46887,"Jones, Brooks and Brown",jones- brooks and brown@gmail.com,!jjjRmZKp4,Lloyds Banking Group plc,5,7456633095,90689 Jonathan Mission,DD1,Dundee
47272,Parker Group,parker group@gmail.com,0O_42AcZq1,Barclays plc,1,7385483106,03091 Michael Pass,DD1,Dundee
18219,Burton Inc,burton inc@gmail.com,)0Sx5Sncv%,NatWest Group plc,4,769791889,41024 Kelsey Ports,KY7,Glenrothes
47790,Jordan Group,jordan group@gmail.com,i@R1Y3urDm,Metro Bank plc,3,7679398181,667 Deborah Station,DG6,Castle Douglas
33073,Booth Inc,booth inc@gmail.com,*0lWJYI+Gw,HSBC Holdings plc,3,7270942797,8076 Jones Light,KA22,Ardrossan
43954,Olson-Armstrong,olson-armstrong@gmail.com,r#H+UbG$!1,Lloyds Banking Group plc,5,7331868582,536 Jeffrey Hill,KA1,Kilmarnock
47411,Parker-Harding,parker-harding@gmail.com,ksKT8QAw%O,Virgin Money UK plc,1,7479095607,989 Nancy Parks,KA1,Kilmarnock
23350,"Moore, Smith and Russell",moore- smith and russell@gmail.com,2i2lSFQr%5,Metro Bank plc,3,7581220435,067 Christopher Station Suite 145,DD10,Montrose
47031,Robbins and Sons,robbins and sons@gmail.com,t3R8F_PlH&,Virgin Money UK plc,4,7916811056,71175 Hubbard Keys Apt. 540,ML12,Biggar
49086,Fletcher-Ramirez,fletcher-ramirez@gmail.com,l^3VlVB9)f,Virgin Money UK plc,3,714692716,2730 Christopher Squares,DG6,Castle Douglas
